,val_loss,val_recon_loss,val_classacc_loss,val_recon_acc,val_recon_mean_squared_error,val_classacc_acc,val_classacc_mean_squared_error,loss,recon_loss,classacc_loss,recon_acc,recon_mean_squared_error,classacc_acc,classacc_mean_squared_error
0,94.53795433912725,0.939349797589645,0.6029753321400181,0.0,0.939349797589645,0.9074355089791085,0.20549738938511775,103.90203997399851,1.0323722392258674,0.6648170692757113,0.002079002079002079,1.0323722392258674,0.8814968814968815,0.23599849368703094
1,96.73930255849372,0.9617052107190145,0.5687808261474818,0.0,0.9617052107190145,0.9696509863429439,0.1889817128141661,91.66319783264287,0.910239264028236,0.6392701507358194,0.0,0.910239264028236,0.9812889812889813,0.22326436093592097
2,92.19882501998693,0.9166190446056256,0.5369210252269808,0.0,0.9166190446056256,0.9848254931714719,0.17363754025630776,95.18032121955729,0.9456785108715977,0.6124685437664421,0.0,0.9456785108715977,0.9937629937629938,0.2100570133099189
3,120.58724737095001,1.2008491327621507,0.5023329974306191,0.0015174506828528073,1.2008491327621507,0.9954476479514416,0.15767395114229374,92.47738819558506,0.9189127868897206,0.5861085103108332,0.0,0.9189127868897206,0.9937629937629938,0.19700806130986204
4,98.69714165602178,0.9822150193867083,0.47563890622128846,0.0,0.9822150193867083,0.9984825493171472,0.14501858429138142,91.47311389471042,0.9091075243052722,0.5623616771985488,0.0,0.9091075243052722,0.997920997920998,0.18546739400300563
5,103.15534154634375,1.0271095765559555,0.44438528435725905,0.0,1.0271095765559555,0.9984825493171472,0.13105303897029172,93.5635554061858,0.930266150503793,0.5369422730685768,0.0,0.930266150503793,0.998960498960499,0.17314586563814208
6,104.15373217245516,1.0373687967544984,0.4168528426037211,0.0,1.0373687967544984,0.9984825493171472,0.11890355818685884,90.10620367204821,0.8959295558210718,0.5132467213886444,0.0,0.8959295558210718,0.9968814968814969,0.16203117835298644
7,101.96339799710218,1.0156556200546993,0.39783697497320103,0.0,1.0156556200546993,0.9984825493171472,0.11045280716216618,91.64768201943,0.911525359334668,0.4951462547397415,0.0010395010395010396,0.911525359334668,1.0,0.15339952093895656
8,122.84293925816445,1.224744548746957,0.3684822480577258,0.0015174506828528073,1.224744548746957,0.9984825493171472,0.09863012635653587,91.40530554123083,0.9093467327388557,0.4706328703311278,0.0,0.9093467327388557,1.0,0.14189138859820216
9,114.42691084032536,1.1407766455221973,0.349245411220921,0.0,1.1407766455221973,1.0,0.0904699099760316,91.21492657889448,0.9076275894275079,0.4521679336092824,0.0,0.9076275894275079,1.0,0.1334330934001106
10,115.65538562085813,1.153239747370863,0.33141151332891405,0.0015174506828528073,1.153239747370863,1.0,0.0832708313021023,89.16015491763173,0.8873086989607484,0.4292862172434087,0.0,0.8873086989607484,1.0,0.12301963831059898
11,122.72499489675704,1.2241921875292325,0.30577341554197446,0.0,1.2241921875292325,1.0,0.07316704079146993,89.54886008002902,0.8913413746565146,0.41472308390353674,0.0,0.8913413746565146,1.0,0.11627901034146981
12,118.7082534234332,1.184201175236738,0.28813467980878305,0.0015174506828528073,1.184201175236738,1.0,0.06662941485507716,89.03248593812177,0.8863666477049711,0.39582155511681605,0.0010395010395010396,0.8863666477049711,1.0,0.10783422682550493
13,137.84967979928973,1.3757662498173113,0.2730529270105188,0.0,1.3757662498173113,1.0,0.06161594613029852,87.64620439921991,0.8726970116276751,0.3765041844264881,0.0,0.8726970116276751,1.0,0.09956600024459764
14,130.9681414313309,1.307104654124004,0.2576775153779477,0.0,1.307104654124004,1.0,0.05615897010870515,88.62443814703927,0.8826184250925534,0.36259738930545576,0.0,0.8826184250925534,1.0,0.09350414351093546
15,121.40603092407783,1.211668486931617,0.23917994728489964,0.0,1.211668486931617,1.0,0.04961077437618795,87.10483197313336,0.8676215159608024,0.34268062011863487,0.0,0.8676215159608024,1.0,0.0855427182854585
16,130.12642355934804,1.2989856491320413,0.2278604735825239,0.0,1.2989856491320413,1.0,0.04629138319531232,86.80856716608059,0.8648141704329334,0.3271491949498777,0.0,0.8648141704329334,1.0,0.07905597273810241
17,145.64617976650302,1.4542788144127552,0.21829794426427446,0.0,1.4542788144127552,1.0,0.043046696775780824,86.20980700137957,0.8589640257883964,0.31340457718982023,0.0,0.8589640257883964,1.0,0.0736456591937993
18,148.26809868356708,1.4806267936602349,0.20542077141303755,0.0,1.4806267936602349,1.0,0.03903556158921606,89.93310374380893,0.8963114416648841,0.3019602902218111,0.0,0.8963114416648841,1.0,0.06896541290868097
19,156.1983904339294,1.5600821128926254,0.1901785323173034,0.0,1.5600821128926254,1.0,0.0345705303848242,85.33454474292525,0.8504697423962694,0.2875708878164232,0.0010395010395010396,0.8504697423962694,1.0,0.06351222921929588
20,153.07984213474487,1.5289840106718096,0.1814411213799565,0.0,1.5289840106718096,1.0,0.032325974570895366,87.92120099612929,0.8764951397624184,0.2716868818425835,0.0,0.8764951397624184,1.0,0.05766756553009245
21,146.6696946718624,1.4649939714324673,0.17029802643655825,0.0,1.4649939714324673,1.0,0.029085908008793054,87.07140367789476,0.8681413693326426,0.257267380454684,0.0,0.8681413693326426,1.0,0.052581387752059096
22,141.1836497722157,1.4102302697432059,0.1606227646105568,0.0,1.4102302697432059,1.0,0.0265236716881417,86.84725402943062,0.8660304586010019,0.24420814095316706,0.0,0.8660304586010019,1.0,0.048075955337893196
23,163.7924484924409,1.6364505370578564,0.14739327338469047,0.0,1.6364505370578564,1.0,0.023286389479518207,85.28418410493529,0.850520162163554,0.2321678530773353,0.0,0.850520162163554,1.0,0.04400310922499258
